index,explainer_name,dataset,topk,charact,fid,fidinv,link,paper,year,method
0,basic_gnnexplainer,chameleon,10.0,0.425,0.364,0.49,https://arxiv.org/pdf/1903.03894.pdf,GNNExplainer: Generating Explanations for Graph Neural Networks,2019,GNNExplainer
1,distance,chameleon,10.0,0.491,0.372,0.278,https://arxiv.org/pdf/2002.05257.pdf,Shortest Path Distance Approximation using Deep learning Techniques,2020,Distance
2,gnnexplainer,chameleon,10.0,0.452,0.364,0.404,https://arxiv.org/pdf/1903.03894.pdf,GNNExplainer: Generating Explanations for Graph Neural Networks,2019,GNNExplainer
3,gradcam,chameleon,10.0,0.553,0.414,0.1659999999999999,https://openaccess.thecvf.com/content_CVPR_2019/papers/Pope_Explainability_Methods_for_Graph_Convolutional_Neural_Networks_CVPR_2019_paper.pdf,Explainability Methods for Graph Convolutional Neural Networks,2019,Grad-CAM
4,ig,chameleon,10.0,0.517,0.48,0.44,https://arxiv.org/pdf/1703.01365.pdf,Axiomatic Attribution for Deep Networks,2017,Integrated Gradient
5,occlusion,chameleon,10.0,0.514,0.432,0.366,https://arxiv.org/pdf/1311.2901.pdf,Visualizing and understanding convolutional networks,2014,Occlusion
6,pagerank,chameleon,10.0,0.488,0.358,0.2319999999999999,http://ilpubs.stanford.edu:8090/422/1/1999-66.pdf,The PageRank Citation Ranking: Bringing Order to the Web,1998,PageRank
7,pgexplainer,chameleon,10.0,0.445,0.372,0.446,https://arxiv.org/pdf/2011.04573.pdf,Parameterized Explainer for Graph Neural Network,2020,PGExplainer
8,pgmexplainer,chameleon,10.0,0.513,0.374,0.182,https://proceedings.neurips.cc/paper/2020/file/8fb134f258b1f7865a6ab2d935a897c9-Paper.pdf,PGM-Explainer: Probabilistic Graphical Model Explanations for Graph Neural Networks,2020,PGM-Explainer
9,sa,chameleon,10.0,0.551,0.5150000000000001,0.408,https://arxiv.org/pdf/1905.13686.pdf,Explainability Techniques for Graph Convolutional Networks,2019,Saliency
10,subgraphx,chameleon,10.0,0.421,0.2837301587301587,0.1845238095238095,https://arxiv.org/pdf/2102.05152.pdf,On Explainability of Graph Neural Networks via Subgraph Exploration,2021,SubgraphX
